id,smiles,notes,params_json
10473617,CC(C1=CC=C(C=C1)C(F)(F)F)NC(=O)NC2=CC=CC3=C2C=CN=C3,,
10474264,CC1(C=C(C2=C(N1)C=CC(=C2)C3=C(C=CC(=C3)F)OC)CSCC=C)C,,
10474339,C1=CC(=CC=C1C2=NN(C(=O)O2)CC3=C(C=CC(=C3)Cl)O)C(F)(F)F,,
10474944,C1=CC=C(C(=C1)C2=NN=CC(=C2)C3=CC(=C(C=C3)F)C4=C(C=C(C=N4)F)F)F,,
10474948,C1CN(C[C@H]1N)C2=C(C=C3C4=C2OC5=CC=CC=C5N4C=C(C3=O)C(=O)O)F,,
10475082,C[C@]1([C@@H]([C@H](O[C@H]1N2C=NC3=C(N=C(N=C32)Cl)NC4CCCC4)CO)O)O,,
10475384,C[C@]12CC3=C(C=C1CCC[C@@H]2[C@H](C4=CC=CC=C4)O)N(N=C3)C5=CC=C(C=C5)F,,
10475646,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CC=CC=C4Cl)N,,
10475737,CC1(CC(CC(N1)(C)C)N2C=NC(=C2C3=NC(=NC=C3)N)C4=CC=C(C=C4)F)C,,
10475742,C[C@]12CC3=C(C=C1CCC[C@@H]2[C@H](C4=CSC=C4)O)N(N=C3)C5=CC=C(C=C5)F,,
10475888,CC1=CC(=C(C(=C1Cl)O)C(=O)OC)OC2=C(C=C(C=C2OC)O)C(=O)OC,,
10476254,C1C(C(=O)N(C2=CC=CC=C21)CC(=O)N)NC(=O)C3=CC4=C(N3)SC(=C4)Cl,,
10476437,CC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)CC[C@@]43C)F)O)C)OC(=O)C,,
10476854,CCCCOC(=O)CC1=C(N(C2=C1C=C(C=C2)OC)C(=O)C3=CC=C(C=C3)Cl)C,,
10477093,CCC(CN1C2=CC=CC=C2CC(C1=O)NC(=O)C3=CC4=C(N3)SC(=C4)Cl)O,,
10477146,CN1C2=CC=CC=C2C(=N[C@@H](C1=O)NC(=O)NC3=CC=CC=C3Cl)C4=CC=CC=C4,,
10477147,CC1=C(C(=C(C(=C1Cl)O)C/C=C(\C)/CC/C=C(\C)/C2=CC(=O)C(O2)(C)C)O)C=O,,
10477191,C1C(C(=O)N(C2=CC=CC=C21)C[C@H](CO)O)NC(=O)C3=CC4=C(N3)SC(=C4)Cl,,
10477223,CC1=NC2=C(C=C1)C(=CC(=C2)F)N3CCN(CC3)CCC4=CC5=C(C=C4)OCC(=O)N5,,
10477364,CCOC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)Cl,,
10477893,C1=CC(=CC(=C1)C(F)(F)F)C2=NC3=CN(C=CC3=N2)CC4=CC=C(C=C4)Br,,
10477896,CCCCCCCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,
10478142,CS(=O)CCN1C2=CC=CC=C2CC(C1=O)NC(=O)C3=CC4=C(N3)SC(=C4)Cl,,
10478173,C[C@]12CC3=C(C=C1CCC[C@@H]2[C@H](C4=CC(=C(C=C4)F)OC)O)N(N=C3)C5=CC=C(C=C5)F,,
10478217,CC1=NC2=C(C=CC(=C2C=C1)N3CCN(CC3)CCC4=CC5=C(C=C4)OCC(=O)N5)Cl,,
10478229,C1CCC(C(C1)NC2=C3C=CC(=CC3=NC=C2)Cl)NC4=C5C=CC(=CC5=NC=C4)Cl,,
10478506,CN1CCC2=C1C=CC3=C2OC(=C(C3C4=CC(=C(C(=C4)Br)OC)OC)C#N)N,,
10478638,C[C@]12CC3=C(C=C1CCC[C@@H]2[C@H](C4=CSC5=CC=CC=C54)O)N(N=C3)C6=CC=C(C=C6)F,,
10478859,CC(=O)NC1=C(C=C(C=C1)F)OC[C@H](CN2CCC3(CC2)CC4=C(O3)C=CC(=C4)Cl)O,,
10478956,CC1=NC2=C(N1C3=CC=C(C=C3)C4CC5=CC(=C(C=C5N(C(=O)C4)C)Cl)Cl)C=CN=C2,,
10479006,CC1=NC2=C(N1C3=CC=C(C=C3)C4=NC5=CC(=C(C=C5NC(=S)C4)Cl)Cl)C=CN=C2,,
10479060,C1=CC(=CC(=C1)OS(=O)(=O)CCCC(F)(F)F)OC2=CC=CC(=C2C#N)C(F)(F)F,,
10479199,COC1=C2C(N(C(=O)C2=C(C3=C1C=CC=N3)O)CC4=CC=C(C=C4)F)SCCC(=O)OC,,
10479319,COC1=CC(=C(C(=C1C(=O)C2=CN=C(N=C2N)NC3CCN(CC3)S(=O)(=O)C)F)F)F,,
10479379,CC1(C2=C(CCN1C3=CC=C(C=C3)F)C=C(C=C2)O)C4=CC=C(C=C4)OCCN5CCCCC5,,
10479448,C1=CC=C(C(=C1)CN)CNC(=O)CC2=C(C=CC(=NCC(C3=CC=CC=N3)(F)F)N2O)Cl,,
10479502,C1CN(CCN1)S(=O)(=O)C2=C(C=CC(=C2O)NC(=O)NC3=C(C(=CC=C3)F)Cl)Cl,,
10479666,C1CN(CCN1CCOC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C[C@H](CC4=CC=CC=C4)O,,
10479778,C1=CC2=C(C=CC(=C2Br)O)C(=C1)C3=C(C=C(C=C3Cl)NC(=O)CC(=O)O)Cl,,
10479779,CC(C)C1=C(C=CC(=C1)OC2=C(C=C3C(=C2Br)C=C(N3)C(=O)O)Br)O,,
10479822,C1CN(CCN1CCCCNC(=O)C2=CC3=C(N2)C=C(C=C3)C#N)C4=C(C(=CC=C4)Cl)Cl,,
10480325,CN1C=C(C2=C1C=CC(=C2)OCCCC3=CC=C(C=C3)Cl)CC[C@H](CO)N4C=C(N=C4)C(=O)N,,
10480336,CC1=CC(=C(C2=CC=CC=C12)N3C(=NN=C3SCC(=O)NC4=CC=CC=C4Br)C)C,,
10480357,C/C(=C\CN1CCN(CC1)C[C@H]2[C@@H]3COC4=CC(=C(C=C4C3=NO2)OC)OC)/C5=CC=C(C=C5)F,,
10480380,C1CN(CCC1(C(=O)N)N)C2=NC=NC3=C2N=C(N3C4=CC=C(C=C4)Cl)C5=CC=CC=C5Cl,,
10480465,C1C[C@@H]([C@@H](N(C1)CC2=NC=NN2)C3=CC=CC=C3)OCC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,,
10480509,CN1CCC2=C3[C@@H]1CC4=C(C(=C(C=C4C3=C(C(=C2Br)O)OC)OC)O)Br,,
10481025,CN(C)CC1=C(SC2=CC=CC=C21)C(=O)NC3=C(C=C(C=C3)Cl)C(=O)NC4=CC=C(C=C4)Cl,,
10481087,CC1=CC=C(C=C1)C(C2=CC=C(C=C2)C)C(=O)NCCCN3CCC(CC3)(C#N)C4=CC=CC=C4Cl,,
10481477,CCN(CCCN1CCC2(CC1)C3=CC=CC=C3CO2)C(=O)C(C4=CC(=C(C=C4)F)F)N5CCCC5=O,,
10481978,C1=CC=C(C(=C1)C2=CC(=C(C=C2)NC(=O)CC3=CNC4=C3C=C(C=C4)C(=N)N)Br)S(=O)(=O)N,,
10482075,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC4=NC(=CS4)C5=CSC6=CC=CC=C65,,
10482211,COC1=CC=CC=C1SC2=C(C(=C(C=C2)/C=C/C(=O)N3CCC(CC3)C(=O)O)C(F)(F)F)C(F)(F)F,,
10482395,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)C5(CC5)CNC6=NC=CS6)C(=N2)C(F)(F)F,,
10483139,C1COCCC1(C(=O)NO)S(=O)(=O)C2=CC=C(C=C2)OCCCN3N=C(N=N3)C4=CC=C(C=C4)OC(F)(F)F,,
10483360,CCCCNC(=O)C1=CC(=C(C=C1)OC2=C(C=C(C=C2)CC(=O)O)OC)NS(=O)(=O)C3=C(C=C(C=C3)Cl)Cl,,
10483382,C1=CC(=CC=C1C(=O)NCC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)S(=O)(=O)N,,
10483675,COC1=CC=CC=C1N2CCN(CC2)CCCCCCCN3C(=O)C(=C(C=N3)N4CCN(CC4)C(=O)C5=CC=CO5)Cl,,
10483726,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C(C)C)C4=CC=CC=C4C(F)(F)F,,
